# BEST (Up to date)
# 254 data points written for 5 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral distance (m)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,52.382,0
0.01,0.0026191,0.52382,113.21,0
0.02,0.01352,1.6564,110.59,0
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.035615,2.7628,109.35,0
0.04,0.068713,3.8568,109.04,0
0.05,0.11273,4.9476,108.72,0
0.06,0.16765,6.0352,108.4,0
0.07,0.23342,7.1196,108.07,0
0.08,0.31002,8.2007,107.74,0
0.09,0.39742,9.2784,107.41,0
0.1,0.49557,10.353,107.07,0
0.10966,0.60057,11.387,106.74,0
0.11844,0.70469,12.325,106.46,0
0.12655,0.80819,13.189,106.19,0
0.13414,0.91125,13.994,105.93,0
# Event LAUNCHROD occurred at t=0.14128 seconds
0.14128,1.014,14.752,105.69,0
0.152,1.1781,15.884,105.23,4.553e-5
0.16808,1.4471,17.575,104.53,2.8805e-4
0.1922,1.9013,20.093,103.34,0.0010498
0.22837,2.6957,23.82,100.57,0.0030453
0.27837,4.012,28.827,96.654,0.0071198
0.32837,5.5742,33.656,93.121,0.011575
0.37837,7.3734,38.306,89.484,0.014099
0.42837,9.4004,42.771,85.736,0.011443
0.47837,11.646,47.046,81.858,3.8754e-4
0.52837,14.1,51.124,77.714,0.025509
0.57837,16.754,54.993,73.448,0.067724
0.61711,18.939,57.841,70.56,0.11415
0.65002,20.881,60.162,68.009,0.16359
0.68287,22.894,62.39,65.274,0.22203
0.71678,25.047,64.596,62.399,0.2915
0.75453,27.53,66.939,58.589,0.37888
0.80432,30.935,69.82,53.082,0.50777
0.85432,34.492,72.46,48.039,0.64844
0.90432,38.175,74.847,42.987,0.79562
0.9351,40.498,76.186,40.743,0.88787
0.96417,42.731,77.368,37.897,0.97573
0.99518,45.148,78.535,33.429,1.0702
1.0334,48.172,79.783,24.239,1.188
1.0834,52.19,80.93,12.05,1.3454
1.1334,56.252,81.525,1.6833,1.5079
1.1785,59.933,81.618,-6.6674,1.6593
1.211,62.582,81.431,-10.806,1.771
1.2444,65.296,81.071,-15.431,1.8875
1.2897,68.955,80.362,-18.365,2.0469
1.3397,72.95,79.45,-20.019,2.2221
1.3897,76.898,78.458,-21.405,2.3944
1.4397,80.794,77.398,-22.611,2.5627
# Event BURNOUT occurred at t=1.4847 seconds
1.4847,84.247,76.391,-22.619,2.7101
1.5347,88.039,75.269,-22.244,2.8707
1.5847,91.775,74.166,-21.894,3.0287
1.6347,95.456,73.079,-21.551,3.1854
1.6847,99.083,72.011,-21.199,3.3413
1.7347,102.66,70.96,-20.838,3.4969
1.7847,106.18,69.927,-20.481,3.6518
1.8347,109.65,68.912,-20.13,3.8054
1.8847,113.07,67.914,-19.795,3.9571
1.9347,116.44,66.931,-19.49,4.106
1.9847,119.76,65.964,-19.208,4.2515
2.0347,123.04,65.01,-18.939,4.3937
2.0847,126.27,64.07,-18.683,4.5333
2.1347,129.45,63.142,-18.447,4.6706
2.1847,132.58,62.225,-18.221,4.8067
2.2347,135.67,61.32,-17.983,4.9423
2.2847,138.71,60.427,-17.743,5.0774
2.3347,141.71,59.546,-17.497,5.2122
2.3847,144.67,58.677,-17.256,5.3463
2.4347,147.58,57.82,-17.018,5.4794
2.4847,150.45,56.975,-16.79,5.611
2.5347,153.28,56.141,-16.58,5.7406
2.5847,156.06,55.317,-16.377,5.8681
2.6347,158.81,54.503,-16.181,5.9934
2.6847,161.51,53.699,-15.999,6.1165
2.7347,164.18,52.903,-15.825,6.238
2.7847,166.8,52.116,-15.658,6.3582
2.8347,169.39,51.337,-15.487,6.4777
2.8847,171.94,50.567,-15.319,6.5965
2.9347,174.45,49.805,-15.149,6.7148
2.9847,176.92,49.052,-14.975,6.8324
3.0347,179.35,48.308,-14.807,6.9491
3.0847,181.75,47.571,-14.652,7.0645
3.1347,184.11,46.843,-14.502,7.1786
3.1847,186.43,46.121,-14.353,7.2913
3.2347,188.72,45.407,-14.21,7.4026
3.2847,190.97,44.7,-14.074,7.5124
